profID,fName,lName,department,email
69,Hailee,Helsdon,Architecture,hailee.helsdon@yahoo.com
18,Nils,Noury,English,nils.noury@gmail.com
78,Feliks,Hoodless,English,feliks.hoodless@hotmail.com
50,Gene,Danforth,Computer Science,gene.danforth@orange.fr
77,Bennie,Spear,Computer Science,bennie.spear@hotmail.com
83,Sherlocke,Tenby,Mathematics,sherlocke.tenby@yahoo.com
97,Mechelle,Casarini,Economics,mechelle.casarini@gmail.com
63,Shelba,Taudevin,Computer Science,shelba.taudevin@hotmail.fr
32,Richie,Falla,Art History,richie.falla@hotmail.fr
44,Amandie,Parmiter,Art History,amandie.parmiter@yahoo.com
68,Lorianna,Graver,Computer Science,lorianna.graver@aol.com
45,Carol,Camlin,Physics,carol.camlin@yahoo.com
23,Glynis,Camus,Political Science,glynis.camus@voila.fr
87,Alexandrina,Whordley,Engineering,alexandrina.whordley@comcast.net
91,Etienne,Liley,Computer Science,etienne.liley@wanadoo.fr
16,Catherina,Chate,Art History,catherina.chate@wanadoo.fr
71,Kalindi,Collerd,Political Science,kalindi.collerd@hotmail.co.uk
15,Arthur,Coppeard,Economics,arthur.coppeard@optonline.net
70,Austen,Haskayne,Physics,austen.haskayne@att.net
15,Meier,Barizeret,Political Science,meier.barizeret@hotmail.com
98,Pasquale,Klima,Psychology,pasquale.klima@yahoo.com
75,Heidi,Tomaszynski,Political Science,heidi.tomaszynski@yahoo.com
56,Khalil,Lamasna,Art History,khalil.lamasna@gmail.com
17,Vi,McFadin,Music,vi.mcfadin@orange.fr
19,Silvana,O' Markey,English,silvana.omarkey@hotmail.es
20,Isak,Capes,Biology,isak.capes@hotmail.com
43,Lexine,Chezelle,History,lexine.chezelle@yahoo.com
25,Idaline,Kerfoot,Economics,idaline.kerfoot@yahoo.com.br
5,Leontyne,Jerdein,History,leontyne.jerdein@ymail.com
14,Jorie,Luna,Chemistry,jorie.luna@hotmail.com
